eval_count,energy,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17
40,1.752813272389277,-0.4724628395433732,-0.49462664503736464,-1.113738311529985,-0.35667471833960507,-0.39896285853971536,-0.3619764502459947,-0.4724628395433734,-0.4946266450373651,-1.0753054983176535,-0.7221377294910875,-1.1526141847149867,-1.048826114080057,-0.4724628395433731,-0.494626645037365,-1.0468338170180513,-0.7200864524629621,-1.2408424007612737,-0.7323779215148966
41,5.634956503680207,-0.7568924729083251,-0.79339972729764,-1.3169832110729254,-0.6365802012984725,-0.8103252698243555,-0.6897435000032855,-0.7568924729083247,-0.793399727297641,-1.2467168837252462,-0.8452203276202196,-1.2468891823331656,-1.3236977305721134,-0.756892472908324,-0.7933997272976407,-0.7282056765689544,-0.8209421464685266,-1.5808729334397722,-0.8053376844970149
42,1.706958791151374,-0.5443421746410617,-0.5665059801350532,-1.1086064470147885,-0.350124060305304,-0.3878662051925482,-0.3550970996000706,-0.5443421746410619,-0.21295258954177976,-1.0716271914156899,-0.7187642819530443,-1.1522980675915353,-1.0437597179730036,-0.5443421746410617,-0.9200593707283271,-0.5792624538712183,-0.717429826747824,-1.2320321743790432,-0.7309208672971874
43,2.1131901704833846,-0.8238141077007388,-0.8468166959144909,-1.1004925452807166,-0.34163797559495473,-0.3731173644100614,-0.3482153174267869,-0.823814107700739,0.019301400755502907,-1.0665124805441233,-0.7117321798589967,-1.1521413416865987,-1.039847298544236,-0.8238141077007388,0.01930140075550346,-0.5710580808370791,-0.7114950158136969,-1.219300012013543,-0.7272707651562572
44,1.7625061489200178,-0.909918941385919,-0.2256840970811131,-1.1097787139195536,-0.35134203517751394,-0.38856710910163195,-0.3563544801348203,-0.53506076683919,-0.567656520850461,-1.0727994583204552,-0.7199822568252544,-1.1542032804767501,-1.0450170985077534,-0.5350607668391897,-0.5676565208504609,-0.5804347207759836,-0.718647801620034,-1.2333352327761924,-0.7321782478319372
45,1.7855252558873005,-0.05483012345366112,-0.01784830427881945,-1.0924131672156983,-0.3332088005468637,-0.3621202298660402,-0.3406840129428991,-1.0218772859608607,-0.5541809580620225,-1.060301687288915,-0.704208879080034,-1.1471286893680601,-1.0341659950684816,-1.0218772859608605,-0.5541809580620223,-0.5629223364703548,-0.7046553599534352,-1.2080059089595372,-0.721752893126474
46,1.7069587911513766,-0.5443421746410618,-0.5665059801350532,-1.1086064470147885,-0.350124060305304,-0.3878662051925484,-0.35509709960007063,-0.19078878404778815,-0.5665059801350536,-1.0716271914156899,-0.7187642819530443,-1.1522980675915353,-1.0437597179730036,-0.8978955652343354,-0.5665059801350535,-0.5792624538712183,-0.717429826747824,-1.2320321743790432,-0.7309208672971875
47,1.5774184203835198,-0.28134091379760173,-0.3320913122422128,-0.8808421052288454,-0.11233375540293669,-0.04860618354902835,-0.148164168379716,-0.20690438909353703,-0.38807096383595385,-0.9054007716416453,-0.5108070463518685,-1.0494846752542137,-0.8977526902293043,-0.2069043890935343,-0.3880709638359544,-0.3496418061470761,-0.5319870028393817,-0.9026722464240595,-0.5902961114865997
48,1.5320676295191098,0.0328528526227424,-0.2289751740818533,-0.8204410206643461,-0.25440877645661664,-0.2924230943522217,-0.5259005588934524,0.1103570995406043,-0.5911179875141324,-0.9297865775359939,-0.2657096227812443,-1.0236187392447713,-1.294676405383936,0.11035709954061729,-0.5911179875141328,-0.10676152959167284,-0.285862035649359,-0.9568343446340314,-0.3914705097562904
49,1.961121750174644,-0.05039605069159844,0.2254758737848745,-0.3097055732126004,-0.18402726569260996,-0.2691135575203584,-0.590699111867502,0.4596230953754007,-0.17207356395265205,-0.9447081355209462,-0.20351351035184626,-1.0056098189333242,-1.3457850816688368,-0.14261755901692913,-0.7743142183449994,-0.4140385526631671,-0.22775365161257227,-0.8401512927728776,-0.34230439179573163
50,1.980635327865044,0.05328896696500182,-0.20832304361783657,-0.799664561190831,-0.24584664054724156,-0.6070103359001491,-0.36897681425130535,0.13079321388286377,-0.5704658570501157,-0.8925202152228099,-0.2220697172420335,-1.3278442041863305,-1.1493924720344655,0.13079321388287674,-0.5704658570501162,-0.08598507011815769,-0.24278629909299976,-0.9257658955799244,-0.3352015858449179
51,1.1869532371625695,0.08833071710818297,-0.37507401199694645,-1.000371172276457,-0.5302376161874112,0.19919925435536145,-0.36368118237247254,0.10546770004863949,-0.913513885611992,-1.0312093540130918,-0.1984072218364295,-0.4074894337293923,-1.2005992917881352,0.19205473757186503,-0.8269268480887852,-0.06702692767071358,-0.223847689502868,-1.0924883948735173,-0.3155674953757282
52,1.9108288377973133,0.02587360790564431,-0.7285556151949374,-1.1261617395952075,-0.6244197765102162,0.47511122235888603,-0.6649264171409329,-0.08859248769518392,-0.6192319359686593,-1.0648410963206525,-0.10170090345284724,-0.026951638739166783,-1.51794327599025,0.18378251400863363,-0.34685693426486497,0.16312004588648082,-0.1284501846343309,-1.1539364394085245,-0.261347200031824
